Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,1730015425994457.0,13423829.75,2,2,132,205,66,66,66.0,0.0,139,66,102.5,36.5,25.104609211838373,0.2979775574105445,3355957.4375,5803290.273615734,13407544.75,0.0,13423829.75,13423829.75,0.0,13423829.75,13423829.75,13407544.75,13407544.75,0.0,13407544.75,13407544.75,0,1,0,0,32,64,0.14898877870527225,0.14898877870527225,66,139,84.25,31.60992723813201,999.1875,1,0,0,1,3,0,0,0,1.0,84.25,66.0,102.5,nan,nan,nan,nan,nan,nan,2,132,2,205,471,1025,0,66,0,0,0,0,0,0,0,0,BENIGN
37352,6,1730015439422078.2,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,1,66,0,0,1025,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015438707089.2,30780372.5,23,22,5137,5990,2036,66,223.34782608695653,405.6093224955192,2603,66,272.27272727272725,555.5742468848362,361.4965998218508,1.4619706113043305,684008.2777777778,4412259.141150175,29948018.75,0.0,30780372.5,1399107.8409090908,6241967.5966325635,29999706.5,168.0,30765222.0,1465010.5714285714,6369794.219172433,29948018.75,310.25,14,12,0,0,724,712,0.7472294235555467,0.7147411877487838,66,2603,247.26666666666668,485.3734140959011,235587.3511111111,1,2,0,26,43,0,0,0,1.0454545454545454,247.26666666666668,223.34782608695653,272.27272727272725,nan,nan,nan,nan,nan,nan,23,5137,22,5990,64240,65535,0,66,0,0,0,0,0,0,0,0,BENIGN
60616,6,1730015469502037.0,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,1,66,0,0,378,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015439457131.0,30091712.0,14,12,3562,5012,2004,66,254.42857142857142,498.81913617286665,1376,66,417.6666666666667,540.4486305119315,284.9289531948199,0.8640252837724886,1157373.5384615385,5766594.006079355,29990332.25,0.0,30091712.0,2314747.076923077,7993538.177016051,30005156.75,173.75,30071023.25,2733729.3863636362,8619295.845757632,29990332.25,534.25,6,7,0,0,436,392,0.4652443835698015,0.398780900202687,66,2004,329.7692307692308,524.796026873761,275410.8698224852,1,2,0,13,24,0,0,0,1.1666666666666667,329.7692307692308,254.42857142857142,417.6666666666667,nan,nan,nan,nan,nan,nan,14,3562,12,5012,64240,65535,0,66,0,0,0,0,0,0,0,0,BENIGN
60618,6,1730015469556853.8,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,1,66,0,0,344,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015468174252.2,10067454.5,12,12,3418,5773,2042,66,284.8333333333333,543.9462034266094,2962,66,481.0833333333333,815.5791866656616,912.941796757065,2.3839193909443543,419477.2708333333,1983783.0187682903,9933117.75,0.0,10067454.5,915223.1363636364,2873626.3842097716,10002379.75,189.75,10051818.75,913801.7045454546,2852226.659136873,9933117.75,224.0,5,7,0,0,360,392,1.1919596954721772,1.1919596954721772,66,2962,382.9583333333333,700.1085320128745,490151.9565972222,1,2,0,12,22,0,0,0,1.0,382.9583333333333,284.8333333333333,481.0833333333333,nan,nan,nan,nan,nan,nan,12,3418,12,5773,64240,65160,0,66,0,0,0,0,0,0,0,0,BENIGN
49846,6,1730015478267248.2,627.75,2,0,156,0,90,66,78.0,12.0,0,0,0,0,248506.57108721623,3185.9816806053364,313.875,313.875,627.75,0.0,627.75,627.75,0.0,627.75,627.75,0,0,0,0,0,1,0,0,0,32,0,3185.9816806053364,0.0,66,90,78.0,12.0,144.0,1,0,0,1,1,0,0,0,0,78.0,78.0,0,nan,nan,nan,nan,nan,nan,2,156,0,0,501,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015478268764.5,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,0,54.0,54.0,0,nan,nan,nan,nan,nan,nan,1,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015478269702.2,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,0,54.0,54.0,0,nan,nan,nan,nan,nan,nan,1,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,BENIGN
